shelter_id,shelter_name,district,state,hazard_type,latitude,longitude,capacity_people,current_occupancy,vulnerable_ratio,days_isolated,road_access,power_backup_hours,food_rations_kg,water_liters,medical_kits,blankets_count,target_shortage_score,target_urgency_class,target_action_code
SH-VIS-0033,Visakhapatnam Sector-15 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,18.04492,82.84885,800,629,0.397,0.57,1,37.0,1247.5,2217.4,27.3,730.9,91.39,CRITICAL_DEFICIT,0
SH-KUT-0034,Kutch Sector-4 Relief Center,Kutch,Gujarat,earthquake,23.50029,69.60505,500,447,0.55,2.19,1,14.8,948.6,1753.0,24.7,636.1,83.58,CRITICAL_DEFICIT,0
SH-UTT-0035,Uttarkashi Sector-16 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.73853,78.21652,500,453,0.207,6.49,0,14.8,162.3,455.6,2.0,153.7,100.0,CRITICAL_DEFICIT,0
SH-KAT-0036,Katihar Sector-9 Relief Center,Katihar,Bihar,flood,25.82765,87.17575,150,165,0.307,6.27,0,38.5,57.7,114.2,1.2,25.6,100.0,CRITICAL_DEFICIT,0
SH-IDU-0037,Idukki Sector-8 Relief Center,Idukki,Kerala,flood,10.07587,76.91378,300,103,0.316,1.6,1,14.2,34.3,77.8,0.7,21.5,100.0,CRITICAL_DEFICIT,0
SH-SOU-0038,South 24 Parganas Sector-7 Relief Center,South 24 Parganas,West Bengal,cyclone,21.61685,88.61506,500,284,0.291,0.55,1,0.0,478.3,1162.6,12.0,337.0,83.62,CRITICAL_DEFICIT,0
SH-KAT-0039,Katihar Sector-11 Relief Center,Katihar,Bihar,flood,25.70995,87.74934,1200,988,0.072,0.33,0,37.9,1923.5,5593.9,31.2,1071.8,88.53,CRITICAL_DEFICIT,0
SH-DAR-0040,Darbhanga Sector-6 Relief Center,Darbhanga,Bihar,flood,26.42634,86.08089,500,166,0.319,1.59,1,6.4,300.3,802.3,6.9,180.7,81.56,CRITICAL_DEFICIT,0
SH-KAN-0041,Kangra Sector-13 Relief Center,Kangra,Himachal Pradesh,earthquake,31.79976,76.27371,500,351,0.479,3.18,1,11.8,95.3,191.3,2.6,47.7,100.0,CRITICAL_DEFICIT,0
SH-IDU-0042,Idukki Sector-14 Relief Center,Idukki,Kerala,flood,10.42389,76.94147,150,136,0.481,3.17,1,9.6,242.5,621.3,7.5,199.2,83.83,CRITICAL_DEFICIT,0
SH-CHA-0043,Chamoli Sector-2 Relief Center,Chamoli,Uttarakhand,earthquake,30.04321,79.42115,150,55,0.447,2.97,1,13.9,93.5,164.7,2.8,39.7,88.03,CRITICAL_DEFICIT,0
SH-UTT-0044,Uttarkashi Sector-8 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.88197,78.70154,500,245,0.334,2.77,1,42.5,529.1,1275.9,10.4,286.7,76.28,CRITICAL_DEFICIT,0
SH-VIS-0045,Visakhapatnam Sector-7 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.53998,83.20861,300,155,0.354,1.45,1,23.1,312.9,747.0,7.2,258.2,69.39,CRITICAL_DEFICIT,0
SH-UTT-0046,Uttarkashi Sector-3 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.90919,78.45597,150,132,0.251,1.85,1,20.4,39.1,80.1,0.9,31.7,94.77,CRITICAL_DEFICIT,0
SH-DHU-0047,Dhubri Sector-17 Relief Center,Dhubri,Assam,flood,26.17986,89.96553,300,172,0.052,3.4,1,27.7,351.4,687.5,6.4,145.3,77.4,CRITICAL_DEFICIT,0
SH-WAY-0048,Wayanad Sector-6 Relief Center,Wayanad,Kerala,flood,11.56012,76.27084,800,368,0.072,14.02,0,0.0,695.0,1862.8,6.5,646.3,90.29,CRITICAL_DEFICIT,0
SH-KAT-0049,Katihar Sector-9 Relief Center,Katihar,Bihar,flood,25.83552,87.4184,150,84,0.333,2.97,1,8.6,179.1,320.1,4.7,178.1,84.95,CRITICAL_DEFICIT,0
SH-VIS-0050,Visakhapatnam Sector-13 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.69577,83.54947,300,73,0.347,2.85,1,33.1,236.4,677.6,6.2,83.4,60.49,DEFICIT,1
SH-CHA-0051,Chamoli Sector-18 Relief Center,Chamoli,Uttarakhand,earthquake,30.45968,79.38491,800,535,0.261,2.51,1,25.6,1690.9,4563.2,32.4,1649.1,64.62,DEFICIT,1
SH-KAN-0052,Kangra Sector-4 Relief Center,Kangra,Himachal Pradesh,earthquake,31.73943,76.46171,150,133,0.339,9.08,0,26.3,425.0,1145.2,5.3,147.9,76.08,CRITICAL_DEFICIT,0
SH-VIS-0053,Visakhapatnam Sector-4 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.17799,83.19025,300,73,0.174,0.8,0,13.8,63.9,188.9,1.0,48.5,100.0,CRITICAL_DEFICIT,0
SH-VIS-0054,Visakhapatnam Sector-6 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.51382,82.93935,150,47,0.192,5.07,0,23.5,200.6,541.3,3.8,84.4,64.15,DEFICIT,1
SH-WAY-0055,Wayanad Sector-9 Relief Center,Wayanad,Kerala,flood,11.80825,75.77547,150,113,0.198,0.19,1,0.0,211.5,431.9,4.2,191.8,77.64,CRITICAL_DEFICIT,0
SH-PUR-0056,Puri Sector-15 Relief Center,Puri,Odisha,cyclone,19.80157,85.87189,300,91,0.632,0.08,1,24.7,69.9,169.6,2.1,60.6,95.87,CRITICAL_DEFICIT,0
SH-PUR-0057,Puri Sector-9 Relief Center,Puri,Odisha,cyclone,19.70225,85.88384,150,103,0.233,5.63,0,14.4,378.9,960.2,7.0,311.1,66.8,DEFICIT,1
SH-KUT-0058,Kutch Sector-14 Relief Center,Kutch,Gujarat,earthquake,23.61273,69.4703,300,221,0.551,9.2,0,37.6,213.2,369.8,3.2,107.7,100.0,CRITICAL_DEFICIT,0
SH-IDU-0059,Idukki Sector-4 Relief Center,Idukki,Kerala,flood,9.82172,76.8602,500,209,0.324,2.28,0,17.3,938.0,1904.9,16.5,552.7,70.55,CRITICAL_DEFICIT,0
SH-PUR-0060,Puri Sector-16 Relief Center,Puri,Odisha,cyclone,19.7818,85.93161,500,207,0.05,2.25,1,21.5,650.6,1656.6,7.9,389.9,63.85,DEFICIT,1
SH-SOU-0061,South 24 Parganas Sector-11 Relief Center,South 24 Parganas,West Bengal,cyclone,22.5196,88.53087,800,727,0.05,0.73,1,1.3,681.9,1454.4,10.0,582.7,87.77,CRITICAL_DEFICIT,0
SH-KAZ-0062,Kaziranga Sector-18 Relief Center,Kaziranga,Assam,flood,27.02529,93.10634,2000,1900,0.34,1.27,1,7.9,5749.5,11991.9,159.5,4140.1,68.45,DEFICIT,1
SH-DAR-0063,Darbhanga Sector-13 Relief Center,Darbhanga,Bihar,flood,25.73563,85.67402,150,139,0.391,0.74,1,13.3,1386.1,2298.0,23.3,1229.8,11.35,BALANCED,2
SH-CHA-0064,Chamoli Sector-1 Relief Center,Chamoli,Uttarakhand,earthquake,30.54975,79.37689,500,318,0.377,5.03,0,4.0,997.2,2031.7,14.3,764.8,85.72,CRITICAL_DEFICIT,0
SH-KUT-0065,Kutch Sector-11 Relief Center,Kutch,Gujarat,earthquake,23.69898,69.78531,300,350,0.65,2.27,1,43.3,507.7,1246.5,9.8,386.7,88.47,CRITICAL_DEFICIT,0
SH-DHU-0066,Dhubri Sector-6 Relief Center,Dhubri,Assam,flood,26.42581,89.98899,1200,1430,0.172,1.84,0,29.9,2982.5,5169.0,68.2,2295.9,92.76,CRITICAL_DEFICIT,0
SH-KUT-0067,Kutch Sector-4 Relief Center,Kutch,Gujarat,earthquake,23.61319,69.67121,300,112,0.102,1.33,1,37.9,108.1,204.0,1.7,87.1,91.29,CRITICAL_DEFICIT,0
SH-IDU-0068,Idukki Sector-7 Relief Center,Idukki,Kerala,flood,9.61509,76.94504,800,843,0.122,2.6,1,31.4,881.9,2391.0,14.5,444.3,90.73,CRITICAL_DEFICIT,0
SH-SOU-0069,South 24 Parganas Sector-18 Relief Center,South 24 Parganas,West Bengal,cyclone,21.90696,88.99749,500,377,0.1,0.94,1,0.0,358.0,713.5,6.1,133.3,89.08,CRITICAL_DEFICIT,0
SH-DAR-0070,Darbhanga Sector-7 Relief Center,Darbhanga,Bihar,flood,25.98148,85.69088,500,380,0.177,2.59,1,28.5,647.6,1369.2,11.9,406.9,83.01,CRITICAL_DEFICIT,0
SH-UTT-0071,Uttarkashi Sector-6 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.96815,78.49385,300,80,0.135,1.01,1,47.6,69.4,154.4,1.4,23.2,92.67,CRITICAL_DEFICIT,0
SH-UTT-0072,Uttarkashi Sector-13 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.7218,78.5313,150,100,0.263,2.34,1,18.8,85.7,181.6,1.3,57.7,91.56,CRITICAL_DEFICIT,0
SH-VIS-0073,Visakhapatnam Sector-4 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.41096,82.68028,800,711,0.606,2.47,1,55.9,188.7,524.6,4.1,65.8,100.0,CRITICAL_DEFICIT,0
SH-CHA-0074,Chamoli Sector-18 Relief Center,Chamoli,Uttarakhand,earthquake,30.16386,79.65577,500,272,0.643,1.75,1,17.3,66.1,120.5,2.4,46.3,100.0,CRITICAL_DEFICIT,0
SH-UTT-0075,Uttarkashi Sector-18 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.74292,77.94153,300,216,0.082,3.51,0,13.2,161.3,440.3,2.0,72.9,100.0,CRITICAL_DEFICIT,0
SH-UTT-0076,Uttarkashi Sector-8 Relief Center,Uttarkashi,Uttarakhand,earthquake,31.10709,78.77247,800,108,0.133,0.54,1,45.7,448.6,739.7,6.7,293.5,61.51,DEFICIT,1
SH-KAZ-0077,Kaziranga Sector-7 Relief Center,Kaziranga,Assam,flood,26.67424,93.51301,500,482,0.121,0.77,1,37.2,1890.0,5361.4,27.2,1834.8,45.45,DEFICIT,1
SH-PUR-0078,Puri Sector-16 Relief Center,Puri,Odisha,cyclone,20.09908,85.55099,300,128,0.237,1.83,1,25.6,392.0,686.8,8.3,149.5,77.34,CRITICAL_DEFICIT,0
SH-KAT-0079,Katihar Sector-14 Relief Center,Katihar,Bihar,flood,24.94562,87.61804,2000,547,0.161,3.81,1,20.2,5693.5,16440.0,80.8,2373.2,1.57,SURPLUS,3
SH-CHA-0080,Chamoli Sector-16 Relief Center,Chamoli,Uttarakhand,earthquake,30.43725,79.39465,800,277,0.295,2.37,0,15.3,287.9,730.5,4.6,252.6,100.0,CRITICAL_DEFICIT,0
SH-DAR-0081,Darbhanga Sector-15 Relief Center,Darbhanga,Bihar,flood,26.06671,86.02917,300,87,0.258,10.44,0,31.2,288.9,676.4,6.8,237.4,71.88,CRITICAL_DEFICIT,0
SH-CHA-0082,Chamoli Sector-3 Relief Center,Chamoli,Uttarakhand,earthquake,30.62386,79.54054,300,260,0.146,0.71,1,47.2,239.2,636.1,4.2,109.7,88.22,CRITICAL_DEFICIT,0
SH-WAY-0083,Wayanad Sector-4 Relief Center,Wayanad,Kerala,flood,11.85704,75.57869,150,47,0.168,14.02,1,55.1,329.1,717.8,5.1,262.3,13.54,BALANCED,2
SH-DHU-0084,Dhubri Sector-17 Relief Center,Dhubri,Assam,flood,25.91665,89.679,300,324,0.35,4.09,1,23.9,80.0,168.2,2.0,64.4,100.0,CRITICAL_DEFICIT,0
SH-SOU-0085,South 24 Parganas Sector-4 Relief Center,South 24 Parganas,West Bengal,cyclone,21.44181,88.74283,150,41,0.291,0.48,1,0.1,184.0,492.9,4.2,177.9,43.62,DEFICIT,1
SH-DHU-0086,Dhubri Sector-18 Relief Center,Dhubri,Assam,flood,25.89849,89.6943,150,70,0.3,1.43,0,40.4,24.4,70.9,0.6,8.2,100.0,CRITICAL_DEFICIT,0
SH-WAY-0087,Wayanad Sector-4 Relief Center,Wayanad,Kerala,flood,11.77409,75.85753,150,150,0.467,4.79,1,43.0,125.0,339.3,1.9,61.4,100.0,CRITICAL_DEFICIT,0
SH-KAT-0088,Katihar Sector-16 Relief Center,Katihar,Bihar,flood,25.28832,87.60612,1200,942,0.092,8.94,0,9.4,754.6,1497.7,14.7,533.9,100.0,CRITICAL_DEFICIT,0
SH-PUR-0089,Puri Sector-7 Relief Center,Puri,Odisha,cyclone,20.06652,85.26016,500,203,0.25,2.63,1,24.4,748.8,1277.6,16.9,350.1,64.85,DEFICIT,1
SH-DAR-0090,Darbhanga Sector-4 Relief Center,Darbhanga,Bihar,flood,26.18631,86.15827,500,121,0.175,3.7,1,22.9,829.4,1932.7,9.6,639.6,8.62,BALANCED,2
SH-WAY-0091,Wayanad Sector-5 Relief Center,Wayanad,Kerala,flood,11.48206,76.08068,1200,1270,0.423,6.17,0,32.7,4413.4,12504.9,127.5,2285.9,71.21,CRITICAL_DEFICIT,0
SH-KAT-0092,Katihar Sector-8 Relief Center,Katihar,Bihar,flood,26.19002,87.6173,800,248,0.168,10.36,0,4.9,1625.4,3024.1,16.5,1148.4,48.62,DEFICIT,1
SH-PUR-0093,Puri Sector-3 Relief Center,Puri,Odisha,cyclone,19.6825,85.5169,150,96,0.451,1.11,1,15.0,93.7,261.5,1.4,46.2,95.37,CRITICAL_DEFICIT,0
SH-SOU-0094,South 24 Parganas Sector-18 Relief Center,South 24 Parganas,West Bengal,cyclone,22.1975,88.64797,500,296,0.327,2.82,1,15.6,304.3,593.8,7.7,158.1,93.07,CRITICAL_DEFICIT,0
SH-VIS-0095,Visakhapatnam Sector-6 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.71839,83.70323,300,312,0.241,0.46,1,0.4,239.1,528.7,5.4,156.1,91.47,CRITICAL_DEFICIT,0
SH-PUR-0096,Puri Sector-16 Relief Center,Puri,Odisha,cyclone,19.75803,85.93662,500,362,0.458,1.49,1,0.0,1126.3,2196.6,30.0,825.1,72.41,CRITICAL_DEFICIT,0
SH-CHA-0097,Chamoli Sector-9 Relief Center,Chamoli,Uttarakhand,earthquake,30.66058,79.75515,2000,714,0.081,2.69,1,22.9,2704.5,4541.0,52.4,1018.1,60.07,DEFICIT,1
SH-PUR-0098,Puri Sector-19 Relief Center,Puri,Odisha,cyclone,19.53339,85.80372,800,946,0.093,1.21,1,31.6,1868.7,4376.7,31.4,711.3,75.2,CRITICAL_DEFICIT,0
SH-WAY-0099,Wayanad Sector-19 Relief Center,Wayanad,Kerala,flood,11.88704,76.18351,300,84,0.45,0.62,1,18.4,324.1,761.9,6.0,309.3,51.7,DEFICIT,1
SH-WAY-0100,Wayanad Sector-17 Relief Center,Wayanad,Kerala,flood,11.54021,76.34543,150,180,0.262,1.32,0,37.9,183.0,543.5,4.3,61.2,100.0,CRITICAL_DEFICIT,0
SH-CHA-0101,Chamoli Sector-4 Relief Center,Chamoli,Uttarakhand,earthquake,30.32875,79.47144,300,54,0.237,7.11,0,4.4,78.2,197.3,1.9,58.0,100.0,CRITICAL_DEFICIT,0
SH-UTT-0102,Uttarkashi Sector-2 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.83971,78.16668,300,172,0.31,0.61,1,42.9,257.3,615.7,6.5,187.0,82.77,CRITICAL_DEFICIT,0
SH-UTT-0103,Uttarkashi Sector-12 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.85882,78.55757,1200,331,0.416,0.46,1,6.6,105.1,265.4,2.0,40.1,99.46,CRITICAL_DEFICIT,0
SH-KAN-0104,Kangra Sector-5 Relief Center,Kangra,Himachal Pradesh,earthquake,31.88342,76.32119,300,139,0.11,6.5,0,0.0,41.5,75.3,0.8,24.1,100.0,CRITICAL_DEFICIT,0
SH-UTT-0105,Uttarkashi Sector-4 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.90104,78.35195,2000,790,0.65,4.56,1,33.8,713.1,1841.0,14.8,632.6,98.31,CRITICAL_DEFICIT,0
SH-SOU-0106,South 24 Parganas Sector-3 Relief Center,South 24 Parganas,West Bengal,cyclone,22.37556,88.08642,150,58,0.204,3.28,1,32.2,333.9,822.7,6.3,190.0,27.96,BALANCED,2
SH-UTT-0107,Uttarkashi Sector-9 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.55717,78.45432,800,597,0.05,3.59,1,0.0,1231.7,3703.1,16.3,1090.1,82.5,CRITICAL_DEFICIT,0
SH-SOU-0108,South 24 Parganas Sector-9 Relief Center,South 24 Parganas,West Bengal,cyclone,22.10854,88.89021,150,86,0.478,0.08,0,64.3,174.6,366.7,4.7,119.7,97.75,CRITICAL_DEFICIT,0
SH-KAN-0109,Kangra Sector-7 Relief Center,Kangra,Himachal Pradesh,earthquake,32.33808,76.39737,150,106,0.288,0.28,1,6.7,321.9,663.7,6.4,242.9,70.6,CRITICAL_DEFICIT,0
SH-KUT-0110,Kutch Sector-16 Relief Center,Kutch,Gujarat,earthquake,23.74125,70.01185,500,532,0.09,0.87,1,44.7,850.1,1428.5,9.9,519.2,86.57,CRITICAL_DEFICIT,0
SH-WAY-0111,Wayanad Sector-10 Relief Center,Wayanad,Kerala,flood,10.93052,76.17796,800,695,0.237,0.32,0,11.5,721.1,2009.4,15.3,370.9,100.0,CRITICAL_DEFICIT,0
SH-PUR-0112,Puri Sector-6 Relief Center,Puri,Odisha,cyclone,19.65695,85.83504,800,338,0.216,1.37,1,26.7,2441.3,4384.1,27.3,1732.7,25.95,BALANCED,2
SH-DHU-0113,Dhubri Sector-1 Relief Center,Dhubri,Assam,flood,26.12332,90.21555,300,246,0.287,5.02,0,6.5,77.8,210.9,0.9,70.5,100.0,CRITICAL_DEFICIT,0
SH-SOU-0114,South 24 Parganas Sector-9 Relief Center,South 24 Parganas,West Bengal,cyclone,21.80368,88.44343,800,410,0.287,3.34,0,21.0,132.0,302.0,2.7,51.5,100.0,CRITICAL_DEFICIT,0
SH-PUR-0115,Puri Sector-12 Relief Center,Puri,Odisha,cyclone,19.73581,85.84143,150,48,0.321,0.78,1,45.5,264.6,579.5,6.3,168.4,32.27,BALANCED,2
SH-UTT-0116,Uttarkashi Sector-6 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.54699,78.37598,300,130,0.078,1.99,0,57.1,496.7,1388.2,8.0,262.0,63.58,DEFICIT,1
SH-KAT-0117,Katihar Sector-15 Relief Center,Katihar,Bihar,flood,25.45472,87.54579,150,28,0.174,3.75,1,48.3,110.0,317.7,2.4,59.8,52.41,DEFICIT,1
SH-UTT-0118,Uttarkashi Sector-15 Relief Center,Uttarkashi,Uttarakhand,earthquake,30.74195,78.71612,1200,661,0.337,7.92,0,61.6,595.0,1538.1,7.9,307.3,100.0,CRITICAL_DEFICIT,0
SH-IDU-0119,Idukki Sector-3 Relief Center,Idukki,Kerala,flood,10.19261,76.93846,150,33,0.315,1.44,1,30.0,10.4,31.2,0.2,8.9,99.66,CRITICAL_DEFICIT,0
SH-BAL-0120,Balasore Sector-10 Relief Center,Balasore,Odisha,cyclone,21.63642,86.89044,300,174,0.054,0.03,1,30.4,183.3,358.1,2.9,88.2,91.53,CRITICAL_DEFICIT,0
SH-KAT-0121,Katihar Sector-3 Relief Center,Katihar,Bihar,flood,25.44108,87.41972,800,207,0.082,2.43,0,11.9,191.8,424.9,3.7,179.3,100.0,CRITICAL_DEFICIT,0
SH-PUR-0122,Puri Sector-13 Relief Center,Puri,Odisha,cyclone,20.00002,85.88468,150,73,0.537,5.85,0,27.1,145.2,404.6,4.6,101.1,92.95,CRITICAL_DEFICIT,0
SH-VIS-0123,Visakhapatnam Sector-14 Relief Center,Visakhapatnam,Andhra Pradesh,cyclone,17.48863,83.11098,150,100,0.427,3.69,0,41.2,103.5,247.2,1.9,63.9,100.0,CRITICAL_DEFICIT,0
SH-DHU-0124,Dhubri Sector-7 Relief Center,Dhubri,Assam,flood,25.38111,89.75759,300,192,0.239,3.12,0,11.8,163.9,474.6,3.7,162.2,100.0,CRITICAL_DEFICIT,0
SH-DHU-0125,Dhubri Sector-10 Relief Center,Dhubri,Assam,flood,26.37629,89.88583,500,145,0.404,3.13,0,0.0,43.7,102.6,0.8,41.8,100.0,CRITICAL_DEFICIT,0
SH-DAR-0126,Darbhanga Sector-7 Relief Center,Darbhanga,Bihar,flood,26.37611,86.09582,800,582,0.175,1.43,1,15.9,520.1,1218.5,8.0,487.7,90.95,CRITICAL_DEFICIT,0
SH-PUR-0127,Puri Sector-4 Relief Center,Puri,Odisha,cyclone,19.73269,85.81613,300,205,0.555,8.14,0,0.0,1917.2,5491.7,58.4,1504.6,17.2,SURPLUS,3
SH-KAZ-0128,Kaziranga Sector-7 Relief Center,Kaziranga,Assam,flood,26.83123,93.43608,300,330,0.373,1.33,0,19.7,683.8,1696.6,11.3,390.2,91.11,CRITICAL_DEFICIT,0
